Member_number,Date,productId,items,productName,price,order_value
2632,02-03-2015,2,2,whole milk,1.8,3.6
1377,14-03-2015,31,2,curd cheese,9.2,18.4
4162,22-12-2015,32,2,red/blush wine,12.2,24.4
2270,01-07-2015,19,2,sausage,3.1,6.2
4829,03-11-2015,1,2,tropical fruit,7.803532318,15.607064636
3811,14-04-2015,32,1,red/blush wine,12.2,12.2
4766,29-09-2015,2,3,whole milk,1.8,5.4
2436,12-04-2015,9,2,frankfurter,5.5,11.0
3860,05-05-2015,2,2,whole milk,1.8,3.6
4875,12-05-2015,33,2,frozen potato products,3.0,6.0
1587,01-07-2015,4,2,other vegetables,0.8,1.6
4038,08-07-2015,7,2,citrus fruit,1.5,3.0
4750,21-09-2015,34,2,flour,2.1,4.2
1199,10-12-2015,35,3,sugar,1.2,3.5999999999999996
1603,30-09-2015,36,3,frozen meals,9.7,29.099999999999998
3111,31-01-2015,14,2,chocolate,11.5,23.0
3894,13-12-2015,22,3,root vegetables,1.8,5.4
1456,18-09-2015,22,1,root vegetables,1.8,1.8
2022,04-03-2015,37,2,herbs,6.5,13.0
2505,30-11-2015,17,1,bottled water,0.5,0.5
4851,20-12-2015,19,1,sausage,3.1,3.1
4293,04-08-2015,27,2,coffee,8.5,17.0
2775,06-11-2015,23,3,pork,7.2,21.6
3693,18-02-2015,26,1,berries,10.8,10.8
1202,22-07-2015,38,2,soda,0.8,1.6
3699,23-08-2015,26,1,berries,10.8,10.8
4152,15-04-2015,12,1,fruit/vegetable juice,2.1,2.1
4155,26-01-2015,7,1,citrus fruit,1.5,1.5
4010,29-12-2015,23,1,pork,7.2,7.2
4389,20-10-2015,39,3,detergent,5.5,16.5
3746,17-08-2015,40,1,grapes,9.4,9.4
2560,17-05-2015,19,1,sausage,3.1,3.1
1503,25-07-2015,10,1,chicken,7.2,7.2
2555,23-12-2015,2,3,whole milk,1.8,5.4
3645,12-12-2015,7,1,citrus fruit,1.5,1.5
3886,11-09-2015,38,1,soda,0.8,0.8
2932,20-03-2015,19,3,sausage,3.1,9.3
1711,18-06-2015,9,3,frankfurter,5.5,16.5
4291,08-12-2015,19,3,sausage,3.1,9.3
1143,25-04-2015,38,1,soda,0.8,0.8
4564,08-07-2015,5,3,rolls/buns,1.2,3.5999999999999996
3337,14-05-2015,8,3,beef,19.5,58.5
4931,04-05-2015,2,1,whole milk,1.8,1.8
2623,10-10-2015,41,3,processed cheese,6.4,19.200000000000003
4581,03-04-2015,1,1,tropical fruit,7.803532318,7.803532318
2635,11-06-2015,9,2,frankfurter,5.5,11.0
1095,30-10-2015,13,3,packaged fruit/vegetables,3.5,10.5
2990,23-05-2015,2,2,whole milk,1.8,3.6
2426,05-06-2015,26,1,berries,10.8,10.8
4555,07-11-2015,7,3,citrus fruit,1.5,4.5
3635,04-09-2015,1,1,tropical fruit,7.803532318,7.803532318
3058,18-05-2015,21,2,hamburger meat,12.3,24.6
4391,26-03-2015,21,1,hamburger meat,12.3,12.3
1306,23-06-2015,2,3,whole milk,1.8,5.4
1024,10-08-2015,42,3,fish,10.2,30.599999999999998
1295,23-07-2015,9,2,frankfurter,5.5,11.0
1661,01-06-2015,13,1,packaged fruit/vegetables,3.5,3.5
4591,15-05-2015,24,3,pastry,3.1,9.3
3169,14-06-2015,4,2,other vegetables,0.8,1.6
3915,21-05-2015,28,3,misc. beverages,1.2,3.5999999999999996
1127,14-01-2015,9,3,frankfurter,5.5,16.5
4828,08-08-2015,43,1,sparkling wine,12.5,12.5
3683,10-06-2015,15,3,specialty bar,5.2,15.600000000000001
1971,18-09-2015,19,1,sausage,3.1,3.1
3014,11-11-2015,31,3,curd cheese,9.2,27.599999999999998
3779,15-09-2015,9,2,frankfurter,5.5,11.0
2489,04-05-2015,2,3,whole milk,1.8,5.4
3564,27-06-2015,44,1,newspapers,3.2,3.2
4092,30-09-2015,26,1,berries,10.8,10.8
3221,13-01-2015,45,2,curd,9.8,19.6
1279,06-09-2015,1,3,tropical fruit,7.803532318,23.410596954
2581,22-08-2015,38,3,soda,0.8,2.4000000000000004
2295,25-02-2015,5,2,rolls/buns,1.2,2.4
4760,22-02-2015,25,3,canned beer,1.1,3.3000000000000003
3649,16-01-2015,25,3,canned beer,1.1,3.3000000000000003
1075,19-11-2015,9,1,frankfurter,5.5,5.5
3987,19-08-2015,4,3,other vegetables,0.8,2.4000000000000004
4106,25-08-2015,2,3,whole milk,1.8,5.4
4338,24-06-2015,2,2,whole milk,1.8,3.6
4166,06-11-2015,7,2,citrus fruit,1.5,3.0
1211,10-03-2015,9,1,frankfurter,5.5,5.5
3954,21-01-2015,9,3,frankfurter,5.5,16.5
3928,18-07-2015,16,3,butter milk,6.1,18.299999999999997
3827,30-09-2015,21,3,hamburger meat,12.3,36.900000000000006
4699,08-02-2015,46,1,pasta,3.1,3.1
4747,08-06-2015,4,1,other vegetables,0.8,0.8
3028,09-06-2015,19,2,sausage,3.1,6.2
2851,16-03-2015,5,1,rolls/buns,1.2,1.2
4417,25-02-2015,40,3,grapes,9.4,28.200000000000003
3822,07-03-2015,22,3,root vegetables,1.8,5.4
2288,31-05-2015,27,1,coffee,8.5,8.5
2184,30-06-2015,47,3,popcorn,2.4,7.199999999999999
4554,27-08-2015,2,3,whole milk,1.8,5.4
3361,05-03-2015,1,1,tropical fruit,7.803532318,7.803532318
2999,17-04-2015,8,1,beef,19.5,19.5
2614,25-06-2015,2,3,whole milk,1.8,5.4
4064,05-06-2015,9,3,frankfurter,5.5,16.5
3567,04-10-2015,1,3,tropical fruit,7.803532318,23.410596954
2587,07-05-2015,25,2,canned beer,1.1,2.2
3783,17-06-2015,48,2,finished products,6.5,13.0
1923,14-02-2015,49,2,beverages,1.1,2.2
4835,19-02-2015,21,1,hamburger meat,12.3,12.3
1514,24-08-2015,2,2,whole milk,1.8,3.6
3154,22-06-2015,48,1,finished products,6.5,6.5
1313,25-12-2015,4,1,other vegetables,0.8,0.8
2794,18-07-2015,29,2,ham,15.2,30.4
2359,09-04-2015,4,2,other vegetables,0.8,1.6
2238,09-03-2015,45,2,curd,9.8,19.6
3795,17-01-2015,50,3,bottled beer,1.8,5.4
3724,26-11-2015,45,2,curd,9.8,19.6
1152,05-03-2015,2,3,whole milk,1.8,5.4
4559,16-03-2015,2,1,whole milk,1.8,1.8
3922,27-02-2015,51,3,dessert,1.15,3.4499999999999997
1709,22-04-2015,19,2,sausage,3.1,6.2
2219,17-04-2015,4,1,other vegetables,0.8,0.8
2206,17-10-2015,29,1,ham,15.2,15.2
1752,06-04-2015,4,1,other vegetables,0.8,0.8
3942,10-11-2015,4,3,other vegetables,0.8,2.4000000000000004
3296,17-08-2015,38,2,soda,0.8,1.6
2257,05-02-2015,37,1,herbs,6.5,6.5
4313,28-07-2015,9,1,frankfurter,5.5,5.5
2001,21-08-2015,5,1,rolls/buns,1.2,1.2
2449,08-07-2015,45,3,curd,9.8,29.400000000000002
4914,12-04-2015,9,3,frankfurter,5.5,16.5
2764,24-07-2015,4,2,other vegetables,0.8,1.6
4187,09-05-2015,52,3,dog food,12.6,37.8
1392,20-04-2015,15,1,specialty bar,5.2,5.2
3427,28-04-2015,45,2,curd,9.8,19.6
1411,20-02-2015,9,1,frankfurter,5.5,5.5
3390,14-11-2015,38,1,soda,0.8,0.8
4787,01-08-2015,8,3,beef,19.5,58.5
3310,17-01-2015,25,2,canned beer,1.1,2.2
1782,10-10-2015,23,3,pork,7.2,21.6
3375,26-04-2015,9,3,frankfurter,5.5,16.5
2760,07-01-2015,19,2,sausage,3.1,6.2
4249,13-09-2015,25,1,canned beer,1.1,1.1
2904,06-06-2015,53,1,specialty chocolate,18.8,18.8
4090,26-02-2015,45,2,curd,9.8,19.6
3060,05-07-2015,25,1,canned beer,1.1,1.1
3768,07-10-2015,2,2,whole milk,1.8,3.6
1232,21-01-2015,5,2,rolls/buns,1.2,2.4
1360,23-10-2015,23,3,pork,7.2,21.6
1107,01-10-2015,7,2,citrus fruit,1.5,3.0
2865,04-11-2015,6,3,pot plants,3.5,10.5
2958,14-06-2015,5,1,rolls/buns,1.2,1.2
2448,12-07-2015,11,1,butter,3.2,3.2
1222,24-09-2015,54,1,condensed milk,3.5,3.5
2943,20-06-2015,19,1,sausage,3.1,3.1
2270,11-08-2015,2,3,whole milk,1.8,5.4
3812,21-07-2015,19,1,sausage,3.1,3.1
1482,22-11-2015,49,2,beverages,1.1,2.2
4720,22-02-2015,49,2,beverages,1.1,2.2
1344,04-09-2015,17,2,bottled water,0.5,1.0
2397,04-10-2015,44,3,newspapers,3.2,9.600000000000001
4182,12-05-2015,55,1,cleaner,11.8,11.8
4487,10-07-2015,19,1,sausage,3.1,3.1
3467,24-12-2015,44,1,newspapers,3.2,3.2
2443,15-11-2015,19,3,sausage,3.1,9.3
2749,27-01-2015,28,2,misc. beverages,1.2,2.4
4389,13-04-2015,56,2,white wine,14.2,28.4
1674,04-12-2015,19,1,sausage,3.1,3.1
4262,16-10-2015,57,2,meat,8.5,17.0
2082,07-04-2015,9,2,frankfurter,5.5,11.0
4494,06-01-2015,58,3,ice cream,1.8,5.4
2460,28-09-2015,25,3,canned beer,1.1,3.3000000000000003
4509,29-11-2015,1,3,tropical fruit,7.803532318,23.410596954
2267,03-07-2015,57,3,meat,8.5,25.5
4891,05-09-2015,2,1,whole milk,1.8,1.8
3962,20-09-2015,19,3,sausage,3.1,9.3
4964,18-07-2015,9,2,frankfurter,5.5,11.0
2914,30-11-2015,57,1,meat,8.5,8.5
2808,05-05-2015,22,2,root vegetables,1.8,3.6
1085,15-08-2015,22,2,root vegetables,1.8,3.6
3808,18-08-2015,2,2,whole milk,1.8,3.6
4149,07-01-2015,7,3,citrus fruit,1.5,4.5
2331,05-06-2015,7,3,citrus fruit,1.5,4.5
4475,03-04-2015,4,1,other vegetables,0.8,0.8
2761,25-04-2015,7,1,citrus fruit,1.5,1.5
2620,14-12-2015,19,3,sausage,3.1,9.3
3206,13-10-2015,9,2,frankfurter,5.5,11.0
1226,13-04-2015,59,1,hard cheese,4.5,4.5
1395,07-03-2015,60,3,cream cheese ,6.3,18.9
2465,07-06-2015,30,3,turkey,12.5,37.5
3572,09-07-2015,23,3,pork,7.2,21.6
4387,08-05-2015,2,2,whole milk,1.8,3.6
1555,27-03-2015,5,3,rolls/buns,1.2,3.5999999999999996
1181,16-11-2015,19,3,sausage,3.1,9.3
2814,11-05-2015,58,3,ice cream,1.8,5.4
2794,16-09-2015,61,3,liquor,8.5,25.5
2912,28-01-2015,3,1,pip fruit,3.0,3.0
4667,12-01-2015,22,1,root vegetables,1.8,1.8
2235,25-10-2015,38,3,soda,0.8,2.4000000000000004
2353,02-05-2015,38,2,soda,0.8,1.6
3449,08-03-2015,19,1,sausage,3.1,3.1
1058,10-11-2015,22,3,root vegetables,1.8,5.4
1027,17-05-2015,23,1,pork,7.2,7.2
3302,22-05-2015,23,1,pork,7.2,7.2
2229,30-05-2015,14,2,chocolate,11.5,23.0
2188,15-08-2015,12,3,fruit/vegetable juice,2.1,6.300000000000001
1547,18-04-2015,62,3,pickled vegetables,2.7,8.100000000000001
1649,30-06-2015,17,2,bottled water,0.5,1.0
3254,10-09-2015,9,2,frankfurter,5.5,11.0
2818,07-11-2015,1,3,tropical fruit,7.803532318,23.410596954
2703,08-05-2015,25,3,canned beer,1.1,3.3000000000000003
3332,31-01-2015,22,2,root vegetables,1.8,3.6
2473,01-07-2015,57,1,meat,8.5,8.5
2810,30-12-2015,9,1,frankfurter,5.5,5.5
1033,22-04-2015,1,2,tropical fruit,7.803532318,15.607064636
4222,27-05-2015,1,1,tropical fruit,7.803532318,7.803532318
3679,21-09-2015,7,2,citrus fruit,1.5,3.0
2212,27-08-2015,21,1,hamburger meat,12.3,12.3
1507,22-06-2015,10,1,chicken,7.2,7.2
2870,21-01-2015,10,3,chicken,7.2,21.6
3429,26-04-2015,9,3,frankfurter,5.5,16.5
4148,09-04-2015,25,1,canned beer,1.1,1.1
2970,30-12-2015,30,1,turkey,12.5,12.5
2013,30-08-2015,13,3,packaged fruit/vegetables,3.5,10.5
3967,30-05-2015,46,3,pasta,3.1,9.3
2885,15-05-2015,7,3,citrus fruit,1.5,4.5
3935,02-07-2015,19,2,sausage,3.1,6.2
3283,01-05-2015,2,1,whole milk,1.8,1.8
3268,06-11-2015,25,3,canned beer,1.1,3.3000000000000003
3677,30-04-2015,7,1,citrus fruit,1.5,1.5
3495,27-06-2015,63,2,liquor (appetizer),11.2,22.4
1410,04-10-2015,7,2,citrus fruit,1.5,3.0
2440,06-06-2015,19,3,sausage,3.1,9.3
4088,13-01-2015,10,2,chicken,7.2,14.4
2469,23-09-2015,21,1,hamburger meat,12.3,12.3
4229,06-03-2015,19,3,sausage,3.1,9.3
2728,02-08-2015,8,1,beef,19.5,19.5
4694,25-01-2015,7,1,citrus fruit,1.5,1.5
2836,29-12-2015,64,2,UHT-milk,2.1,4.2
1311,12-02-2015,65,2,candy,3.6,7.2
1760,23-01-2015,44,2,newspapers,3.2,6.4
3656,02-03-2015,8,2,beef,19.5,39.0
3720,28-05-2015,19,2,sausage,3.1,6.2
2996,26-09-2015,9,3,frankfurter,5.5,16.5
1949,22-07-2015,25,1,canned beer,1.1,1.1
4498,11-02-2015,50,1,bottled beer,1.8,1.8
2447,28-12-2015,66,1,onions,1.3,1.3
1952,23-03-2015,1,1,tropical fruit,7.803532318,7.803532318
4099,27-01-2015,17,2,bottled water,0.5,1.0
1804,12-03-2015,8,1,beef,19.5,19.5
1510,16-05-2015,19,3,sausage,3.1,9.3
2879,18-04-2015,67,3,hair spray,5.4,16.200000000000003
4899,12-03-2015,10,1,chicken,7.2,7.2
4326,29-09-2015,23,1,pork,7.2,7.2
1670,17-05-2015,58,3,ice cream,1.8,5.4
1117,24-05-2015,57,3,meat,8.5,25.5
1346,03-04-2015,4,2,other vegetables,0.8,1.6
1178,15-11-2015,17,3,bottled water,0.5,1.5
1649,25-06-2015,1,2,tropical fruit,7.803532318,15.607064636
4651,21-06-2015,68,2,photo/film,11.9,23.8
4243,02-04-2015,19,2,sausage,3.1,6.2
4429,21-07-2015,40,2,grapes,9.4,18.8
4645,25-07-2015,69,2,domestic eggs,1.25,2.5
4019,24-07-2015,5,1,rolls/buns,1.2,1.2
4459,26-04-2015,1,3,tropical fruit,7.803532318,23.410596954
3006,27-12-2015,10,2,chicken,7.2,14.4
1834,17-09-2015,9,3,frankfurter,5.5,16.5
3236,04-07-2015,26,3,berries,10.8,32.400000000000006
1765,11-03-2015,70,2,margarine,3.5,7.0
3855,09-03-2015,1,1,tropical fruit,7.803532318,7.803532318
4392,28-11-2015,29,2,ham,15.2,30.4
3330,26-07-2015,21,1,hamburger meat,12.3,12.3
1723,02-09-2015,18,3,yogurt,2.2,6.6000000000000005
4110,30-03-2015,38,1,soda,0.8,0.8
2600,28-01-2015,18,1,yogurt,2.2,2.2
2946,07-10-2015,38,1,soda,0.8,0.8
2426,08-09-2015,17,3,bottled water,0.5,1.5
4170,03-05-2015,19,3,sausage,3.1,9.3
1109,06-04-2015,7,1,citrus fruit,1.5,1.5
3429,04-01-2015,71,1,shopping bags,5.12,5.12
2055,04-02-2015,44,2,newspapers,3.2,6.4
2480,20-09-2015,9,1,frankfurter,5.5,5.5
2441,30-05-2015,19,2,sausage,3.1,6.2
1054,04-10-2015,9,1,frankfurter,5.5,5.5
4818,11-01-2015,72,2,salt,0.7,1.4
3379,21-01-2015,73,3,oil,3.4,10.2
3939,10-02-2015,45,1,curd,9.8,9.8
1367,05-08-2015,4,1,other vegetables,0.8,0.8
1043,10-01-2015,7,1,citrus fruit,1.5,1.5
2231,17-10-2015,9,1,frankfurter,5.5,5.5
3235,28-12-2015,22,2,root vegetables,1.8,3.6
4554,16-07-2015,1,1,tropical fruit,7.803532318,7.803532318
3245,24-01-2015,8,3,beef,19.5,58.5
2996,19-05-2015,26,3,berries,10.8,32.400000000000006
2507,05-01-2015,25,1,canned beer,1.1,1.1
4186,25-10-2015,74,3,whipped/sour cream,5.5,16.5
3929,28-04-2015,22,1,root vegetables,1.8,1.8
3760,22-11-2015,2,1,whole milk,1.8,1.8
4928,18-08-2015,8,3,beef,19.5,58.5
4217,18-12-2015,75,1,frozen vegetables,2.5,2.5
1174,11-02-2015,5,3,rolls/buns,1.2,3.5999999999999996
4103,19-06-2015,2,2,whole milk,1.8,3.6
4408,13-03-2015,2,1,whole milk,1.8,1.8
2588,28-12-2015,7,2,citrus fruit,1.5,3.0
2598,11-11-2015,24,3,pastry,3.1,9.3
1518,11-12-2015,9,2,frankfurter,5.5,11.0
2702,08-04-2015,1,2,tropical fruit,7.803532318,15.607064636
1001,20-01-2015,9,3,frankfurter,5.5,16.5
2270,30-09-2015,26,2,berries,10.8,21.6
2838,10-11-2015,5,2,rolls/buns,1.2,2.4
1683,26-05-2015,22,3,root vegetables,1.8,5.4
4040,03-04-2015,18,2,yogurt,2.2,4.4
3897,23-08-2015,4,3,other vegetables,0.8,2.4000000000000004
2200,11-03-2015,26,2,berries,10.8,21.6
4073,29-01-2015,26,3,berries,10.8,32.400000000000006
3700,19-04-2015,4,3,other vegetables,0.8,2.4000000000000004
3973,10-06-2015,5,2,rolls/buns,1.2,2.4
2715,06-07-2015,29,2,ham,15.2,30.4
3967,23-11-2015,2,2,whole milk,1.8,3.6
4002,03-09-2015,1,1,tropical fruit,7.803532318,7.803532318
2962,01-03-2015,17,1,bottled water,0.5,0.5
4340,25-12-2015,16,1,butter milk,6.1,6.1
2092,06-11-2015,44,3,newspapers,3.2,9.600000000000001
3143,24-05-2015,27,2,coffee,8.5,17.0
2209,03-10-2015,50,3,bottled beer,1.8,5.4
2816,22-08-2015,66,1,onions,1.3,1.3
2659,01-06-2015,21,2,hamburger meat,12.3,24.6
1588,13-10-2015,19,3,sausage,3.1,9.3
1144,15-10-2015,59,2,hard cheese,4.5,9.0
2166,10-12-2015,19,3,sausage,3.1,9.3
3300,06-10-2015,21,2,hamburger meat,12.3,24.6
3944,03-01-2015,66,1,onions,1.3,1.3
4979,24-04-2015,27,1,coffee,8.5,8.5
2630,21-01-2015,71,2,shopping bags,5.12,10.24
4240,29-04-2015,18,3,yogurt,2.2,6.6000000000000005
2357,08-07-2015,38,1,soda,0.8,0.8
1743,18-04-2015,76,1,sliced cheese,4.2,4.2
2331,15-02-2015,19,1,sausage,3.1,3.1
1643,28-04-2015,18,2,yogurt,2.2,4.4
1291,20-03-2015,69,2,domestic eggs,1.25,2.5
3675,04-07-2015,2,3,whole milk,1.8,5.4
4134,06-11-2015,57,3,meat,8.5,25.5
1363,21-06-2015,77,3,dish cleaner,2.5,7.5
4212,01-05-2015,4,2,other vegetables,0.8,1.6
1500,21-03-2015,2,2,whole milk,1.8,3.6
2622,01-10-2015,4,3,other vegetables,0.8,2.4000000000000004
3543,18-03-2015,1,3,tropical fruit,7.803532318,23.410596954
2525,24-05-2015,78,2,baking powder,1.8,3.6
1264,12-10-2015,15,3,specialty bar,5.2,15.600000000000001
3601,06-07-2015,58,1,ice cream,1.8,1.8
1771,23-03-2015,9,2,frankfurter,5.5,11.0
4694,06-02-2015,25,3,canned beer,1.1,3.3000000000000003
1122,21-12-2015,17,2,bottled water,0.5,1.0
3507,12-08-2015,4,1,other vegetables,0.8,0.8
4524,26-04-2015,7,2,citrus fruit,1.5,3.0
3612,27-09-2015,19,2,sausage,3.1,6.2
3262,11-06-2015,69,2,domestic eggs,1.25,2.5
1897,25-01-2015,23,2,pork,7.2,14.4
1656,30-10-2015,79,1,specialty cheese,12.14,12.14
3953,10-01-2015,23,2,pork,7.2,14.4
1488,21-06-2015,8,2,beef,19.5,39.0
1652,17-03-2015,4,3,other vegetables,0.8,2.4000000000000004
4953,16-09-2015,10,2,chicken,7.2,14.4
3445,30-04-2015,38,3,soda,0.8,2.4000000000000004
3180,15-03-2015,2,1,whole milk,1.8,1.8
4934,06-09-2015,5,1,rolls/buns,1.2,1.2
2980,27-04-2015,50,1,bottled beer,1.8,1.8
2763,13-02-2015,22,1,root vegetables,1.8,1.8
4819,04-03-2015,24,3,pastry,3.1,9.3
3169,02-07-2015,26,2,berries,10.8,21.6
1850,11-03-2015,7,1,citrus fruit,1.5,1.5
4285,29-12-2015,2,2,whole milk,1.8,3.6
4366,13-08-2015,38,3,soda,0.8,2.4000000000000004
2253,16-06-2015,17,3,bottled water,0.5,1.5
3398,11-03-2015,1,3,tropical fruit,7.803532318,23.410596954
2215,22-07-2015,80,1,salty snack,0.5,0.5
3737,03-03-2015,17,2,bottled water,0.5,1.0
2649,28-11-2015,14,2,chocolate,11.5,23.0
3203,07-08-2015,7,2,citrus fruit,1.5,3.0
4261,16-02-2015,17,3,bottled water,0.5,1.5
2435,17-07-2015,66,1,onions,1.3,1.3
2046,21-08-2015,51,3,dessert,1.15,3.4499999999999997
4267,11-02-2015,8,3,beef,19.5,58.5
1086,28-12-2015,5,2,rolls/buns,1.2,2.4
1992,04-01-2015,8,3,beef,19.5,58.5
3622,26-07-2015,38,2,soda,0.8,1.6
4700,27-06-2015,27,1,coffee,8.5,8.5
2272,16-05-2015,5,2,rolls/buns,1.2,2.4
1663,19-05-2015,23,1,pork,7.2,7.2
2519,03-06-2015,38,2,soda,0.8,1.6
2639,30-10-2015,19,3,sausage,3.1,9.3
1466,19-04-2015,8,3,beef,19.5,58.5
4122,23-10-2015,2,1,whole milk,1.8,1.8
3598,15-04-2015,23,1,pork,7.2,7.2
3097,10-08-2015,26,1,berries,10.8,10.8
1873,19-09-2015,19,2,sausage,3.1,6.2
1537,01-02-2015,17,2,bottled water,0.5,1.0
3960,25-03-2015,1,1,tropical fruit,7.803532318,7.803532318
1136,15-06-2015,37,3,herbs,6.5,19.5
2453,21-12-2015,18,2,yogurt,2.2,4.4
1746,15-02-2015,81,2,Instant food products,0.6,1.2
3572,09-06-2015,53,2,specialty chocolate,18.8,37.6
3246,24-06-2015,27,1,coffee,8.5,8.5
3207,26-11-2015,50,1,bottled beer,1.8,1.8
1042,12-02-2015,8,1,beef,19.5,19.5
1176,30-03-2015,2,1,whole milk,1.8,1.8
3054,23-02-2015,9,1,frankfurter,5.5,5.5
4486,02-12-2015,9,3,frankfurter,5.5,16.5
1580,05-12-2015,4,3,other vegetables,0.8,2.4000000000000004
1623,02-11-2015,9,1,frankfurter,5.5,5.5
4169,24-11-2015,2,2,whole milk,1.8,3.6
2254,24-01-2015,9,1,frankfurter,5.5,5.5
4095,01-11-2015,4,3,other vegetables,0.8,2.4000000000000004
1264,17-11-2015,17,3,bottled water,0.5,1.5
3375,06-01-2015,23,2,pork,7.2,14.4
3242,23-05-2015,17,3,bottled water,0.5,1.5
2227,07-06-2015,4,1,other vegetables,0.8,0.8
3847,03-12-2015,21,2,hamburger meat,12.3,24.6
3897,31-05-2015,21,1,hamburger meat,12.3,12.3
1799,27-09-2015,71,1,shopping bags,5.12,5.12
2920,26-04-2015,2,2,whole milk,1.8,3.6
3713,31-01-2015,58,1,ice cream,1.8,1.8
4230,05-11-2015,24,3,pastry,3.1,9.3
1455,18-03-2015,29,1,ham,15.2,15.2
3687,18-03-2015,9,2,frankfurter,5.5,11.0
3869,01-08-2015,19,2,sausage,3.1,6.2
2988,14-10-2015,50,2,bottled beer,1.8,3.6
4242,30-03-2015,17,1,bottled water,0.5,0.5
4118,24-12-2015,57,2,meat,8.5,17.0
4996,24-10-2015,51,2,dessert,1.15,2.3
4489,04-03-2015,4,1,other vegetables,0.8,0.8
1199,09-11-2015,49,3,beverages,1.1,3.3000000000000003
4108,12-05-2015,29,1,ham,15.2,15.2
3484,05-06-2015,15,2,specialty bar,5.2,10.4
1239,31-08-2015,20,2,brown bread,0.8,1.6
4839,19-12-2015,2,1,whole milk,1.8,1.8
4748,07-05-2015,5,3,rolls/buns,1.2,3.5999999999999996
4426,06-06-2015,50,2,bottled beer,1.8,3.6
3571,11-12-2015,82,2,pet care,5.8,11.6
2852,08-06-2015,7,2,citrus fruit,1.5,3.0
3638,26-05-2015,23,1,pork,7.2,7.2
3635,10-03-2015,4,2,other vegetables,0.8,1.6
